"sample","aminoglycoside","beta-lactam","macrolide","phenicol","rifampicin","sulphonamide","tetracycline","quinolone","pseudomonicacid","trimethoprim","fosfomycin"
"SRR3197590",344,232,0,106,0,100,39,0,0,0,0
"SRR3197591",72,242,0,0,0,85,148,0,0,0,0
"SRR3197595",157,217,0,0,0,71,130,0,0,0,0
"SRR3197603",0,235,0,0,0,0,0,0,0,0,0
"SRR3197606",375,343,0,0,0,51,157,0,0,0,0
"SRR3197607",39,70,0,0,0,27,63,0,0,0,0
"SRR3197608",841,216,0,10,0,88,0,0,0,0,0
"SRR3216437",693,388,0,2,3,262,0,0,0,2,0
"SRR3217267",0,317,0,0,0,0,0,0,0,0,0
"SRR3217272",1640,679,0,0,0,547,0,0,0,0,0
"SRR3217324",956,435,0,0,0,0,408,0,0,0,0
"SRR3217328",761,644,0,0,0,161,305,0,0,0,0
"SRR3217329",431,354,1,0,0,164,268,0,0,0,0
"SRR3217390",0,513,0,0,0,0,0,0,0,0,0
"SRR3217394",0,309,0,0,0,0,0,0,0,0,0
"SRR3217399",504,411,0,0,0,199,336,0,0,0,0
"SRR3217405",0,215,0,0,0,0,0,0,0,0,0
"SRR3217406",0,262,0,0,0,0,0,0,0,0,0
"SRR3217407",936,1263,0,0,0,0,610,0,0,0,0
"SRR3218383",1138,456,0,0,0,230,352,0,0,0,0
"SRR3218389",725,626,0,0,0,156,275,0,0,0,0
"SRR3218394",449,603,0,0,0,81,0,0,0,0,0
"SRR3218397",1050,343,719,0,0,157,225,0,0,123,0
"SRR3218399",3,415,0,1,0,0,0,0,0,0,0
"SRR3222486",0,82,0,0,0,0,1,0,0,0,0
"SRR3222487",202,324,0,0,0,137,248,0,0,0,0
"SRR3222489",881,364,0,31,0,168,158,0,0,0,0
"SRR3222491",667,281,0,0,0,0,0,0,0,0,0
"SRR3223161",3,314,0,0,0,1,1,0,0,0,0
"SRR3223164",3,586,0,0,0,0,2,0,0,0,0
"SRR3223165",354,470,0,0,0,224,1,0,0,0,0
"SRR3223167",566,314,0,0,0,316,173,0,0,0,0
"SRR3223170",890,1216,0,0,0,6,786,0,0,0,0
"SRR3223172",545,1277,64,4,0,129,14,0,0,0,0
"SRR3223173",134,521,2,0,1,241,331,0,0,0,0
"SRR3223469",905,545,0,0,2,502,302,0,0,0,0
"SRR3223470",0,238,0,0,0,0,0,0,0,0,0
"SRR3223472",939,491,0,0,1,316,0,0,0,0,0
"SRR3223479",641,437,0,0,0,152,233,0,0,0,0
"SRR3223481",0,398,2,0,0,197,599,0,0,0,0
"SRR3223482",585,439,0,0,0,0,0,0,0,0,0
"SRR3223485",622,420,0,0,0,155,190,0,0,0,0
"SRR3223552",1108,589,0,0,0,642,331,0,0,0,0
"SRR3223554",343,307,0,0,0,156,0,0,0,0,0
"SRR3223557",685,542,0,0,0,134,309,0,0,0,0
"SRR3223558",420,390,0,0,0,96,226,0,0,0,0
"SRR3223560",451,626,0,0,2,340,493,0,0,0,0
"SRR3223562",647,444,0,0,0,156,267,0,0,0,0
"SRR3223911",193,299,0,0,1,144,247,0,0,0,0
"SRR3223912",530,426,0,82,0,111,0,0,0,0,0
"SRR3223913",2,551,0,0,0,0,0,0,0,0,0
"SRR3223915",315,210,0,46,0,85,129,0,0,0,0
"SRR3223919",987,825,0,0,0,152,252,0,0,0,0
"SRR3223920",2244,495,0,0,1,394,0,0,0,2,0
"SRR3223924",756,482,0,0,0,229,0,0,0,0,0
"SRR3224230",163,214,304,68,2,175,0,0,0,88,0
"SRR3224233",277,395,0,0,1,201,308,0,0,0,0
"SRR3224234",0,350,0,0,0,0,0,0,0,0,0
"SRR3224235",218,332,0,0,0,70,0,0,0,0,0
"SRR3224236",380,465,0,128,0,438,304,0,0,0,0
"SRR3224237",0,649,0,0,0,0,0,0,0,0,0
"SRR3224240",1,383,0,0,0,0,0,0,0,0,0
"SRR3224796",1154,673,0,0,0,313,274,0,0,0,0
"SRR3224798",336,416,0,98,0,296,241,0,0,0,0
"SRR3224801",497,574,0,158,0,472,302,0,0,0,0
"SRR3224803",858,656,0,0,0,187,355,0,0,0,0
"SRR3224808",523,361,0,0,0,210,171,0,0,0,0
"SRR3224984",205,315,0,0,0,160,186,0,0,0,0
"SRR3224988",439,989,0,0,0,82,0,0,0,0,0
"SRR3224989",482,377,0,0,0,115,550,0,0,0,0
"SRR3224993",0,306,0,0,0,0,0,0,0,0,0
"SRR3224994",0,442,0,0,0,0,0,0,0,0,0
"SRR3224996",706,557,2,0,0,164,265,0,0,0,0
"SRR3225003",646,432,0,0,0,150,222,0,0,0,0
"SRR3225042",4,350,0,0,0,0,0,0,0,0,0
"SRR3225043",474,311,0,0,0,161,408,0,0,0,0
"SRR3225044",4,340,0,0,0,0,2,0,0,0,0
"SRR3225046",2,508,0,0,0,0,0,0,0,0,0
"SRR3225048",0,409,0,0,0,0,0,0,0,0,0
"SRR3225049",384,290,0,0,0,125,0,0,0,0,0
"SRR3225059",2130,470,0,0,1,307,0,0,0,2,0
"SRR3225230",452,593,0,0,0,173,343,0,0,0,0
"SRR3225231",237,324,0,0,0,182,237,0,0,0,0
"SRR3225233",415,321,0,0,0,0,293,0,0,0,0
"SRR3225236",1,403,0,0,0,1,0,0,0,0,0
"SRR3225238",910,533,0,0,5,384,0,0,0,2,0
"SRR3225241",413,541,0,126,1,440,292,0,0,0,0
"SRR3225242",544,461,0,0,1,125,243,0,0,0,0
"SRR3225244",501,276,0,0,0,114,0,0,0,0,0
"SRR3225248",740,618,0,0,2,160,323,0,0,0,0
"SRR3226989",230,267,0,0,0,155,788,0,0,0,0
"SRR3227002",223,298,0,0,0,146,218,0,0,0,0
"SRR3227004",329,294,0,2,1,135,177,26,0,2,5
"SRR3227005",966,551,0,0,0,568,226,0,0,0,0
"SRR3227007",1,509,0,0,0,0,2,0,0,0,0
"SRR3227008",700,606,0,0,0,192,285,0,0,0,0
"SRR3227011",649,640,0,0,0,72,0,0,0,0,0
"SRR3227028",172,230,0,0,0,115,162,0,0,0,0
"SRR3227030",2,247,0,0,0,1,0,0,0,0,0
"SRR3227031",183,340,0,0,0,127,175,0,0,0,0
"SRR3227037",302,335,0,0,0,148,203,0,0,0,0
"SRR3227045",0,199,0,0,0,0,0,0,0,0,0
"SRR3227048",315,526,0,0,0,204,346,0,0,0,0
"SRR3228479",1223,695,4,0,0,458,322,0,0,0,0
"SRR3228491",1424,519,0,0,0,348,0,0,0,0,0
"SRR3228493",1,276,0,0,0,0,0,0,0,0,0
"SRR3228534",0,332,0,0,0,2,0,0,0,0,0
"SRR3228537",895,379,0,0,0,0,303,0,0,0,0
"SRR3228538",67,490,0,0,0,52,0,0,0,0,0
"SRR3228539",313,325,0,0,0,161,227,0,0,0,0
"SRR3228544",2795,406,0,0,0,165,300,0,0,0,0
"SRR3228549",0,333,0,0,0,0,0,0,0,0,0
"SRR3228557",352,325,0,0,0,0,0,0,0,0,0
"SRR3228559",957,580,0,0,0,192,265,0,0,0,0
"SRR3228561",0,376,0,0,0,0,0,0,0,0,0
"SRR3228563",550,504,0,0,0,314,246,0,0,0,0
"SRR3228564",970,560,0,0,0,553,250,0,0,0,0
"SRR3228569",481,430,0,0,0,291,199,0,0,0,0
"SRR3228575",337,567,0,0,0,224,0,0,0,0,0
"SRR3242034",56,166,0,0,0,337,0,0,0,0,0
"SRR3242039",604,667,0,379,0,299,0,0,0,0,0
"SRR3242044",1046,320,0,0,0,141,387,0,0,0,0
"SRR3242051",309,282,0,367,0,252,597,0,0,0,0
"SRR3502988",1891,2768,1307,0,0,440,958,0,0,0,0
"SRR3502996",1300,965,2,0,0,217,0,0,0,0,0
"SRR3503026",2738,1892,2112,0,0,651,796,0,0,0,0
"SRR3503028",1120,1050,0,0,3,135,0,0,0,0,0
"SRR3503035",952,1950,0,0,0,0,0,0,0,0,0
"SRR3503038",1843,892,1119,271,0,151,646,0,0,0,0
"SRR3503443",217,3105,0,0,0,177,0,0,0,0,0
"SRR3503444",593,1408,654,93,16,165,0,0,0,0,0
"SRR3503451",1382,1312,0,0,1,188,0,0,0,0,0
"SRR3503456",684,1177,0,0,0,473,462,0,0,0,0
"SRR3503459",413,1383,1,0,0,0,436,0,0,0,0
"SRR3503476",1300,1146,0,0,1,150,0,0,0,0,0
"SRR3503602",686,1030,926,0,0,254,430,0,0,0,0
"SRR3503603",3995,7538,0,0,7,1041,0,0,0,0,0
"SRR3503610",2532,1599,0,0,7,609,0,0,0,0,0
"SRR3503615",1236,1334,0,0,4,165,0,0,0,0,0
"SRR3503622",612,1030,0,0,0,165,362,0,0,0,0
"SRR3503626",2470,2404,0,0,8,398,0,0,0,0,0
"SRR3503631",155,1599,202,0,0,30,100,0,0,0,0
"SRR3503820",2342,1331,0,0,3,891,0,0,0,0,0
"SRR3503822",1279,1502,0,0,2,306,0,0,0,0,0
"SRR3503825",3149,2157,1375,355,0,270,686,0,0,0,0
"SRR3503827",1048,1151,0,0,2,268,0,0,0,0,0
"SRR3503836",1397,1341,931,202,17,178,500,0,0,0,0
"SRR3503841",1564,1710,0,0,5,215,2,0,0,0,0
"SRR3503843",1765,1739,1,0,0,249,0,0,0,0,0
"SRR3503900",975,1721,0,0,1,268,0,0,0,0,0
"SRR3503903",679,2456,1381,84,22,205,1,0,0,0,0
"SRR3503907",1049,804,2,0,0,164,0,0,0,0,0
"SRR3503909",780,1443,1734,0,0,193,0,0,0,0,0
"SRR3503910",2087,3764,0,0,0,330,0,0,0,0,0
"SRR3503911",1203,1187,0,0,0,178,0,0,0,0,0
"SRR3503913",2355,2203,0,0,2,261,0,0,0,0,0
"SRR3504013",2456,2955,1396,353,1,619,673,0,0,0,0
"SRR3504014",1355,1286,0,0,1,188,0,0,0,0,0
"SRR3504016",253,999,0,0,2,126,0,0,0,0,0
"SRR3504095",2040,2145,0,0,1,216,0,0,0,0,0
"SRR3504097",2371,1786,0,0,2,266,750,0,0,0,0
"SRR3504099",2201,2269,0,0,1,238,0,0,0,0,0
"SRR3504218",1432,1855,1712,0,0,459,422,0,0,0,0
"SRR3536229",2640,2565,0,0,8,435,0,0,0,0,0
"SRR3649788",1293,1345,0,0,0,198,0,0,0,0,0
"SRR4417569",1279,961,0,0,0,259,310,0,0,0,0
"SRR4417570",739,1133,0,0,1,208,244,0,0,0,0
"SRR4417571",1641,1106,597,165,0,194,291,0,0,0,0
"SRR4417572",729,1111,0,65,0,163,0,0,0,0,0
"SRR4417573",680,1525,0,87,0,147,0,0,0,0,0
"SRR4417574",921,786,535,146,0,133,292,0,0,0,0
"SRR4417575",444,2116,0,0,0,78,185,0,0,0,0
"SRR4417577",625,716,425,102,0,114,280,0,0,0,0
"SRR4417578",648,2002,1,0,0,152,255,0,0,0,0
"SRR4417581",1111,822,473,132,2,138,278,0,0,0,0
"SRR4417582",253,258,0,0,0,0,91,0,0,0,0
"SRR4417583",730,951,558,0,0,166,284,0,0,0,0
"SRR4417585",677,513,0,0,0,0,249,0,0,0,0
"SRR4417586",638,550,0,76,0,134,0,0,0,0,0
"SRR4417587",247,783,0,0,0,85,202,0,0,0,0
"SRR4417589",635,511,0,0,0,129,0,0,0,0,0
"SRR4417590",318,442,1187,0,0,131,224,0,0,0,0
"SRR4417591",897,1193,449,149,2,272,262,0,0,0,0
"SRR4417592",758,1164,551,225,132,547,224,0,0,0,0
"SRR4417593",1034,424,482,134,0,269,254,0,0,0,0
"SRR4417594",576,1368,683,0,0,158,263,0,0,0,0
"SRR4417595",745,764,463,107,0,197,250,0,0,0,0
"SRR4417598",1300,718,521,143,0,267,283,0,0,0,0
"SRR4417599",660,2377,2,2,0,141,316,0,0,0,0
"SRR4417600",835,875,0,0,0,291,0,0,0,0,0
"SRR4417601",1434,2067,0,90,0,222,0,0,0,0,0
"SRR4417602",882,1121,478,141,1,286,281,0,0,0,0
"SRR4417603",677,634,500,118,0,119,299,0,0,0,0
"SRR4417604",852,843,526,140,1,238,277,0,0,0,0
"SRR4417605",828,778,438,113,0,265,239,0,0,0,0
"SRR4417606",940,677,476,147,2,158,305,0,0,0,0
"SRR4417608",458,1078,0,89,0,134,0,0,0,0,0
"SRR4417609",597,1220,0,233,2,533,329,0,0,0,0
"SRR4417610",1591,1004,497,143,0,313,303,0,0,0,0
"SRR4417611",1503,964,489,179,0,260,269,0,0,0,0
"SRR4417612",973,817,0,0,2,135,302,0,0,0,0
"SRR4417613",784,610,4,0,0,324,366,0,0,0,0
"SRR4417614",691,975,614,0,0,177,280,0,0,0,0
"SRR5120223",1318,851,0,0,0,597,1379,0,0,0,0
"SRR5237398",436,7583,0,0,0,0,223,0,0,0,0
"SRR5445923",487,502,0,0,0,188,457,0,0,0,0
"SRR5445925",761,813,0,0,0,373,783,0,0,0,0
"SRR5477433",914,1314,789,118,0,209,0,0,0,0,0
"SRR5477437",447,768,620,134,10,262,0,0,0,0,0
"SRR5862467",446,655,0,2,0,177,568,0,0,0,0
"SRR5862475",295,445,2,0,4,98,343,6,0,0,1
"SRR5891472",2659,1532,0,0,2,647,791,0,0,0,0
"SRR5891473",3501,1542,0,0,4,1220,857,0,0,0,0
"SRR5891475",5385,1932,0,0,1,2434,748,0,0,0,0
"SRR5891477",2,946,0,0,0,2,0,0,0,0,0
"SRR5891479",4006,1804,0,0,2,952,1253,0,0,0,0
"SRR5891485",4491,1852,0,0,0,1270,1096,0,0,0,0
"SRR5891486",3508,1617,0,0,2,808,1242,0,0,0,0
"SRR5891491",2063,1195,0,0,0,512,644,0,0,0,0
"SRR5891492",3094,1705,0,0,1,708,1124,0,0,0,0
"SRR5891493",3335,1267,0,0,0,1343,626,0,0,0,0
"SRR5891495",2390,1422,0,0,1,634,755,1,0,0,0
"SRR5891499",2671,1409,0,0,1,834,729,0,0,0,0
"SRR5901132",217,365,0,0,0,65,248,0,0,0,0
"SRR654213",1821,1891,0,356,0,562,323,0,0,0,0
"SRR654250",2686,1538,0,388,2,396,939,0,0,0,0
"SRR654292",2040,1058,0,248,6,488,274,0,0,190,0
"SRR654338",634,856,0,0,3,517,0,0,0,0,0
"SRR654382",0,623,0,0,0,0,0,0,0,0,0
"SRR654415",2,1405,0,0,0,298,0,0,0,0,0
"SRR721188",0,2295,0,0,0,0,2,0,0,0,0
"SRR721218",6207,4727,0,1074,7,1666,2044,0,0,0,0
"SRR728961",0,1497,0,0,0,0,69,0,0,0,0
"SRR728972",4,1409,0,0,0,403,53,0,0,0,0
"SRR741913",0,1267,0,0,0,0,2,0,0,0,0
"SRR741916",0,1582,0,0,0,0,9,0,0,0,0
"SRR741918",0,1385,0,0,0,0,13,0,0,0,0
